2015-04-03 17:41:11,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,14,.@wearedelasoul's New Album Puts a New Spin on the Sampling Controversy http://t.co/ZO21aQ9DcR
2015-04-03 17:22:11,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,35,We should try kissing. @Motherboard looks at sexism in space: http://t.co/HHCOJrtqSl http://t.co/O49kuDCJoz
2015-04-03 16:58:15,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,27,'Fuck for Satan': The New Generation of Sex-Centric Tabletop Role-Playing Games  http://t.co/j9CHFgiunx http://t.co/teWQgMllLO
2015-04-03 16:41:11,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,9,Cure Your Disco Fever with @iamboulevards' 'Forgot to Mention' http://t.co/2wZjz6YKex
2015-04-03 16:18:05,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,10,The Recurring Themes That Explain Britain's Leaders' Debate Last Night http://t.co/8FID7NArE2 http://t.co/JwaiPDnEdz
2015-04-03 15:56:56,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,13,RT @pardesoteric: Bartenders told me the best and worst things they've found in the bathroom. Happy Friday from @VICE! http://t.co/IG4LdWMp...
2015-04-03 15:44:42,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,22,Britain's Prisons Are on the Brink of Exploding http://t.co/S5Tpg0p6Z1 http://t.co/VX6GfwdIYx
2015-04-03 15:19:41,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,22,What's the Best Way to Recycle Your Vibrator? http://t.co/GHbOimGeB6
2015-04-03 15:04:07,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,77,The War Against Boko Haram: Watch the trailer for @vicenews's upcoming documentary http://t.co/ob7V5E40wu http://t.co/oekhj6ZPGZ
2015-04-03 14:56:09,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,17,I Tried to Escape from a Locked Basement with My Ex-Girlfriend  for Fun http://t.co/43cF5yncxc http://t.co/9GtGjRlgRl
2015-04-03 14:30:04,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,53,Exclusive: Here Are 50 People Who Don't Like the UK Conservative Party Very Much http://t.co/YoNw1gKNbt http://t.co/poi544rEpl
2015-04-03 14:18:53,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,13,RT @lukeoneil47: I talked to a few sex toy shops to find out how and if you can recycle your vibrators http://t.co/kKzOvhGN4Z via @vice
2015-04-03 14:05:12,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,52,Bartenders Tell Us About the Best and Worst Things They've Found in the Bathroom http://t.co/WFG2jySFbq http://t.co/GQbACWNAtX
2015-04-03 13:46:02,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,293,We Went to Yesterday's Tampon Tax March in London http://t.co/o9EsNwjcua http://t.co/vRNYUu5itk
2015-04-03 13:28:46,VICE,The Definitive Guide to Enlightening Information,Brooklyn  NY,18,How the Backroom Dealings of a Bizarre Florida Eye Doctor Could Bring Down a US Senator http://t.co/2tFU8FDelQ http://t.co/QdWhakpbaw
